"","imputed_IND","imputed_OCC"
"398","100","777"
"399","11","337"
"400","630","264"
"401","220","856"
"402","832","447"
"403","60","558"
"404","220","518"
"405","221","745"
"406","711","314"
"407","60","804"
"408","412","453"
"409","751","885"
"410","60","567"
"411","641","436"
"412","241","769"
"413","831","105"
"414","160","575"
"415","221","745"
"416","221","745"
"417","751","505"
"418","581","268"
"419","581","268"
"420","142","738"
"421","221","888"
"422","221","745"
"423","400","365"
"424","151","747"
"425","461","426"
"426","10","475"
"427","631","265"
"428","212","313"
"429","161","56"
"430","161","313"
"431","850","469"
"432","11","473"
"433","642","274"
"434","612","505"
"435","831","436"
"436","850","75"
"437","850","216"
"438","231","337"
"439","241","696"
"440","832","447"
"441","751","514"
"442","842","387"
"443","160","259"
"444","700","453"
"445","231","889"
"446","221","745"
"447","621","885"
"448","60","865"
"449","221","745"
"450","221","745"
"451","910","423"
"452","831","95"
"453","231","518"
"454","221","745"
"455","241","769"
"456","802","438"
"457","441","529"
"458","160","856"
"459","601","337"
"460","221","883"
"461","221","745"
"462","241","766"
"463","241","799"
"464","231","727"
"465","241","796"
"466","242","733"
"467","642","96"
"468","871","174"
"469","60","853"
"470","842","156"
"471","751","19"
"472","530","313"
"473","101","507"
"474","60","558"
"475","842","164"
"476","882","218"
"477","221","669"
"478","842","436"
"479","641","436"
"480","401","808"
"481","812","319"
"482","60","567"
"483","550","339"
"484","762","435"
"485","102","686"
"486","641","444"
"487","591","316"
"488","420","547"
"489","842","157"
"490","60","804"
"491","550","19"
"492","871","315"
"493","60","567"
"494","901","337"
"495","841","178"
"496","842","157"
"497","580","633"
"498","580","357"
"499","831","27"
"500","831","95"
"501","761","406"
"502","410","64"
"503","931","357"
"504","642","274"
"505","702","25"
"506","752","523"
"507","360","646"
"508","761","95"
"509","60","558"
"510","842","809"
"511","831","313"
"512","842","156"
"513","850","143"
"514","181","19"
"515","221","759"
"516","390","777"
"517","881","313"
"518","101","806"
"519","910","425"
"520","562","259"
"521","831","207"
"522","410","804"
"523","410","337"
"524","342","856"
"525","682","274"
"526","341","783"
"527","221","745"
"528","101","754"
"529","842","804"
"530","842","337"
"531","831","319"
"532","460","539"
"533","760","889"
"534","621","885"
"535","160","363"
"536","850","313"
"537","121","734"
"538","700","383"
"539","31","498"
"540","230","496"
"541","11","473"
"542","11","479"
"543","11","473"
"544","20","479"
"545","800","187"
"546","641","444"
"547","160","633"
"548","700","313"
"549","331","637"
"550","711","313"
"551","331","185"
"552","671","277"
"553","831","95"
"554","711","389"
"555","221","745"
"556","831","449"
"557","142","749"
"558","142","749"
"559","142","315"
"560","591","426"
"561","712","254"
"562","241","733"
"563","840","208"
"564","760","668"
"565","751","514"
"566","612","243"
"567","842","157"
"568","230","804"
"569","160","777"
"570","30","889"
"571","581","268"
"572","831","207"
"573","342","683"
"574","530","259"
"575","762","449"
"576","612","337"
"577","60","567"
"578","611","686"
"579","831","95"
"580","842","387"
"581","102","888"
"582","60","567"
"583","850","633"
"584","60","516"
"585","342","783"
"586","60","516"
"587","401","808"
"588","831","446"
"589","142","738"
"590","151","744"
"591","612","505"
"592","871","335"
"593","221","769"
"594","500","337"
"595","820","85"
"596","562","163"
"597","630","243"
"598","410","805"
"599","682","243"
"600","712","19"
"601","641","438"
"602","100","883"
"603","222","338"
"604","601","877"
"605","172","308"
"606","142","749"
"607","142","738"
"608","280","637"
"609","180","313"
"610","842","157"
"611","751","505"
"612","230","496"
"613","221","745"
"614","842","156"
"615","400","585"
"616","400","889"
"617","241","704"
"618","221","745"
"619","142","796"
"620","871","467"
"621","641","436"
"622","842","453"
"623","641","438"
"624","241","727"
"625","842","453"
"626","762","449"
"627","672","534"
"628","842","156"
"629","901","315"
"630","151","426"
"631","111","779"
"632","60","567"
"633","60","567"
"634","60","567"
"635","221","745"
"636","752","575"
"637","752","337"
"638","842","157"
"639","322","525"
"640","591","888"
"641","160","856"
"642","10","479"
"643","832","447"
"644","10","479"
"645","11","473"
"646","160","777"
"647","160","95"
"648","641","435"
"649","641","443"
"650","10","479"
"651","10","479"
"652","160","224"
"653","601","276"
"654","160","518"
"655","172","384"
"656","311","759"
"657","850","23"
"658","102","783"
"659","591","264"
"660","760","633"
"661","241","796"
"662","221","796"
"663","221","745"
"664","221","745"
"665","121","368"
"666","160","766"
"667","241","337"
"668","160","779"
"669","562","889"
"670","352","44"
"671","842","14"
"672","212","19"
"673","221","745"
"674","280","777"
"675","342","887"
"676","901","5"
"677","901","5"
"678","60","804"
"679","910","417"
"680","60","844"
"681","871","449"
"682","242","759"
"683","60","558"
"684","60","589"
"685","742","779"
"686","880","453"
"687","151","453"
"688","770","469"
"689","132","769"
"690","342","364"
"691","222","744"
"692","502","259"
"693","700","313"
"694","772","458"
"695","60","844"
"696","60","804"
"697","641","436"
"698","641","276"
"699","840","446"
"700","172","736"
"701","831","436"
"702","331","777"
"703","901","257"
"704","700","389"
"705","660","243"
"706","342","313"
"707","682","274"
"708","360","585"
"709","60","567"
"710","410","804"
"711","711","375"
"712","711","375"
"713","802","434"
"714","641","436"
"715","712","453"
"716","840","335"
"717","60","567"
"718","712","254"
"719","772","458"
"720","620","263"
"721","60","567"
"722","620","637"
"723","341","683"
"724","842","453"
"725","271","675"
"726","342","683"
"727","271","644"
"728","172","453"
"729","322","633"
"730","842","156"
"731","312","783"
"732","760","547"
"733","320","883"
"734","271","365"
"735","342","683"
"736","842","156"
"737","342","759"
"738","842","157"
"739","842","157"
"740","172","195"
"741","830","88"
"742","242","888"
"743","171","736"
"744","840","207"
"745","221","745"
"746","60","567"
"747","341","316"
