"","ind_70_final","ind_80","occ_70_final","occ_80"
"87369",718,712,903,453
"79473",678,650,283,274
"62128",609,591,613,666
"107958",857,842,142,156
"54738",468,462,374,368
"118015",879,870,942,468
"62335",609,591,283,264
"1932",17,10,801,473
"6439",67,60,245,558
"17599",147,271,780,889
"72434",657,630,245,243
"82737",707,700,202,7
"108763",857,842,916,444
"93469",769,761,980,406
"24545",207,341,343,308
"72901",657,630,283,264
"20694",178,311,14,57
"125004",937,910,912,436
"81263",617,592,283,265
"91169",758,752,470,534
"101954",838,840,75,95
"63712",609,591,305,337
"72870",657,630,283,264
"110792",857,842,142,156
"58115",208,342,233,13
"90937",757,751,472,514
"118728",888,882,11,53
"53618",448,441,385,348
"81321",627,600,245,243
"48008",407,400,692,777
"9534",69,60,751,865
"54670",467,460,482,526
"8025",68,60,436,853
"501",17,11,822,479
"3128",17,10,801,473
"57926",529,512,341,344
"33490",268,100,374,364
"95329",779,771,285,274
"63923",609,591,283,274
"101652",838,831,56,27
"17655",147,271,610,796
"16797",139,270,430,575
"82344",707,700,202,7
"90478",757,751,473,505
"93489",769,761,755,486
"65953",628,601,762,877
"75338",669,641,230,19
"74443",669,641,915,435
"13061",77,60,433,577
"6679",67,60,415,567
"124350",927,910,964,418
"100662",838,831,611,747
"107421",857,842,372,313
"86534",718,712,441,633
"25492",208,342,602,785
"56190",508,541,391,315
"120954",907,412,331,355
"101886",838,831,75,95
"98872",828,812,922,446
"22204",189,322,183,185
"112639",857,842,372,313
"44998",369,192,152,217
"72181",657,630,613,666
"59591",377,200,10,48
"11522",69,60,522,585
"71663",648,621,623,885
"117004",877,880,372,313
"32535",259,391,602,785
"6472",67,60,751,869
"7220",67,60,415,567
"47702",407,400,780,889
"105104",839,832,902,449
"119988",897,891,6,44
"30405",227,352,55,65
"77426",669,641,915,435
"31242",237,232,612,769
"73036",657,630,613,666
"94427",777,762,441,448
"4561",28,31,752,498
"94855",887,881,703,808
"91848",769,761,980,406
"22509",189,322,602,683
"28538",219,351,461,637
"50519",417,410,245,19
"46839",389,221,664,745
"26995",208,342,14,57
"11986",69,60,560,565
"79094",677,642,913,444
"122281",917,932,14,57
"61272",558,552,715,804
"54170",467,460,751,869
"90265",749,750,623,885
"17820",147,271,391,315
"41392",338,171,266,278
"17863",148,272,622,766
"41908",338,171,266,278
"126053",937,910,964,418
"35073",287,111,395,379
"65975",628,601,634,888
"92681",769,761,984,407
"123148",917,931,215,36
"80435",697,682,283,274
"50988",609,591,753,883
"5029",48,41,481,516
"54864",468,462,344,345
"70585",647,620,283,269
"1254",17,10,802,475
"79305",677,642,231,243
"115339",858,850,903,453
"118714",888,882,305,337
"123127",917,921,1,23
"52921",448,441,385,348
"124979",937,910,964,418
"47620",407,400,486,516
"640",17,11,801,473
"62394",609,591,283,274
"23584",197,331,374,364
"36829",317,142,902,453
"3180",17,10,801,473
"108811",857,842,101,19
"22842",179,312,14,57
"105862",849,841,31,178
"122468",917,921,391,315
"19020",158,282,441,633
"14166",107,230,715,804
"85294",717,711,326,375
"115411",858,850,430,575
"47591",407,400,712,825
"68818",287,111,283,274
"28145",219,351,651,644
"96614",787,772,944,458
"39461",319,151,663,744
"113031",857,842,142,156
"45670",379,210,441,633
"83686",708,702,210,7
"92497",769,761,984,407
"124981",937,910,961,417
"51497",427,421,471,508
"111449",857,842,372,313
"71501",648,621,623,885
"50800",418,411,753,883
"24355",208,342,430,575
"116194",859,852,32,164
"100739",838,831,916,444
"95036",779,771,611,748
"22713",197,331,680,783
