"","ind_70_final","ind_80","occ_70_final","occ_80"
"28800",219,351,706,856
"69679",639,612,473,505
"25687",208,342,441,633
"54642",467,460,433,555
"25171",207,341,394,389
"48869",408,401,703,808
"11485",69,60,510,579
"6470",67,60,270,254
"99715",828,812,926,207
"53697",448,441,473,505
"62786",609,591,394,389
"104026",838,831,321,376
"21380",187,320,333,357
"99015",828,812,922,446
"26819",208,342,12,55
"39259",319,151,663,744
"117284",877,880,90,177
"72780",657,630,283,264
"102168",838,831,75,95
"54248",467,460,433,577
"107465",857,842,144,157
"51559",427,421,680,783
"64506",617,592,245,243
"27622",219,351,680,783
"16772",139,270,780,889
"83219",708,702,220,19
"6",17,10,801,473
"7490",68,60,751,869
"67307",628,601,402,687
"21591",187,320,694,766
"62686",609,591,283,274
"26335",208,342,681,777
"108951",857,842,142,156
"117138",877,880,86,176
"74938",669,641,913,444
"26047",208,342,602,785
"103730",838,831,80,203
"52426",448,441,385,348
"78640",677,642,64,96
"91742",769,761,751,869
"67208",628,601,634,888
"88102",728,722,764,887
"11947",68,60,522,585
"98776",828,812,65,84
"17034",139,270,690,769
"118448",887,881,310,276
"14604",109,241,602,785
"43088",339,172,530,734
"84282",717,711,372,313
"107233",857,842,142,156
"96973",788,780,935,458
"21027",179,312,610,796
"65210",619,671,231,13
"34998",287,111,402,756
"108050",857,842,903,453
"70773",639,612,473,505
"53873",448,441,310,276
"97004",788,780,935,457
"71276",648,621,245,243
"44382",358,182,643,888
"120419",907,412,361,354
"18127",149,280,245,19
"46775",389,221,663,745
"45020",369,192,151,224
"22145",188,321,650,708
"42060",338,171,422,736
"37565",317,142,483,518
"64687",617,592,395,379
"37088",317,142,385,348
"111410",857,842,382,387
"107503",857,842,32,164
"3816",17,10,822,484
"111420",857,842,142,156
"84580",717,711,391,315
"109343",857,842,144,157
"84994",717,711,265,253
"73347",667,632,284,266
"2701",17,10,801,473
"3208",17,11,821,477
"41361",338,171,394,389
"126788",937,910,391,315
"86521",718,712,545,696
"44143",357,181,903,453
"115013",858,850,113,134
"110021",857,842,142,156
"16744",139,270,780,889
"75179",669,641,230,19
"15016",118,242,602,785
"104870",839,832,925,447
"103522",838,831,372,313
"14609",118,242,643,888
"35700",297,121,441,633
"70527",647,620,283,263
"112498",857,842,142,156
"120594",907,412,361,354
"78",17,11,801,473
"103737",838,831,925,447
"92251",769,761,980,406
"54209",467,460,433,577
"41839",338,171,422,736
"16989",139,270,533,707
"45527",379,211,441,633
"107634",857,842,144,157
"39581",319,151,374,364
"115397",858,850,545,696
"92390",769,761,980,406
"16638",139,270,626,724
"50890",418,411,753,883
"42866",339,172,530,734
"40634",328,160,690,753
"108454",857,842,144,157
"59929",568,540,375,386
"106809",857,862,382,387
"73176",658,631,283,265
"32759",259,391,690,777
"65",17,11,822,479
"62379",609,591,753,883
"43283",339,172,395,379
"97429",879,870,925,447
"1144",17,10,801,473
"10942",69,60,522,585
"108510",867,851,240,14
"93152",769,761,755,486
"85797",717,711,265,253
"120724",907,412,361,354
"98993",828,812,922,446
"2473",17,10,822,479
"84358",717,711,265,253
"84618",717,711,245,19
"59154",557,511,282,259
"118330",69,60,502,544
"44337",357,181,281,259
"69762",639,612,364,319
"106571",857,842,142,156
"26569",208,342,602,785
"125688",937,930,192,197
"123370",917,931,164,227
"44717",368,192,426,678
"73819",667,632,245,243
"43246",339,172,530,734
"65891",627,600,762,877
"72563",657,630,283,264
"65182",619,671,264,277
"126768",937,910,75,95
"123398",917,901,471,515
"56667",527,550,305,337
"83437",708,702,313,378
"37073",317,142,672,738
"45657",379,211,610,796
"36515",308,140,674,749
"124328",927,922,100,174
"47502",407,400,712,825
"74939",669,641,915,433
"127070",937,910,31,178
"16525",139,270,705,805
"13375",77,60,415,567
"7805",68,60,452,36
"10199",69,60,430,555
"117714",878,871,76,103
"107864",857,842,903,453
"56723",527,550,762,889
"11340",69,60,522,585
"63772",609,591,210,7
"104757",839,832,925,447
"127005",937,910,372,313
"10170",69,60,245,19
"21927",187,320,561,634
"3833",17,11,822,479
"124978",937,910,961,417
"68826",637,610,402,687
"104046",838,831,75,95
"55097",469,461,452,796
"12285",69,60,680,783
"104883",839,832,925,447
"64931",618,670,705,806
"94979",779,771,245,748
"110190",857,842,142,156
"124561",927,901,530,734
"104499",839,832,925,447
"24376",207,341,695,779
"51611",427,421,471,508
"26398",208,342,903,453
"35768",297,121,943,454
"123134",917,932,56,27
"36711",317,142,690,744
"84352",717,711,265,253
"85864",717,711,375,336
"101206",838,831,916,439
"70287",639,612,644,759
"13989",108,231,662,727
"1556",17,10,801,473
"1572",17,11,801,473
"114337",858,850,325,335
"107480",857,842,142,156
"37303",317,142,674,749
"109146",857,842,142,156
"46185",387,212,690,719
"36410",319,151,663,744
"70666",647,620,283,269
"86921",718,712,270,254
"41676",338,171,266,278
"54122",467,460,433,577
"2798",17,10,801,473
"124730",927,910,222,5
"66787",628,601,762,877
"81552",707,700,903,453
"83242",708,702,372,313
"52148",447,440,1,23
"13490",77,60,751,869
"48834",408,401,390,318
"8072",68,60,436,855
"79100",677,642,310,276
"109868",857,842,142,156
"44215",357,181,150,223
"121678",917,932,162,216
"48433",408,401,394,323
"53695",448,441,391,385
"28865",219,351,610,689
"90173",749,750,395,379
"10931",69,60,430,575
"125974",937,910,964,418
"31907",248,380,325,335
"27607",219,351,690,777
"105171",839,832,925,447
"79587",679,561,283,268
"61645",608,581,762,274
"59794",567,560,325,335
"101153",838,831,303,339
"33181",259,390,681,777
"115329",858,850,394,387
"38662",319,151,611,747
"102274",838,831,391,315
"124370",927,931,903,453
"59471",558,552,305,337
"111282",857,842,142,156
"59641",559,531,690,799
"51108",419,420,441,633
"24762",207,341,602,785
"31424",239,371,360,338
"29210",219,351,153,235
"72149",657,630,530,734
"85917",717,711,903,453
"106153",849,841,370,313
"9389",69,60,1,23
"3770",638,611,631,686
"11296",69,60,522,585
"88233",728,722,903,453
"71361",648,621,473,505
"3218",17,11,801,473
"69638",639,612,473,505
"89440",748,742,391,315
"48116",407,400,452,689
"86210",717,711,305,337
"115253",858,850,391,315
"67009",628,601,283,274
"34637",278,102,690,889
"26249",208,342,13,56
"96100",787,772,944,458
"107266",857,842,142,156
"79006",677,642,310,276
"57180",527,550,441,633
"17944",148,272,692,777
"9060",68,60,415,567
"17470",147,291,903,453
"122720",937,910,381,365
"825",17,10,822,479
"25256",207,341,245,19
"114252",858,850,120,123
"17875",148,272,424,849
"25264",207,341,680,783
"94147",777,762,901,449
"87679",727,721,391,315
"103441",838,831,85,208
"98144",809,802,1,7
"59318",558,552,372,313
"51446",427,421,285,257
"104517",839,832,916,444
"86845",67,60,470,534
"88683",738,732,245,19
"123128",917,931,391,315
"14063",107,230,245,243
"20292",168,300,364,319
"118979",888,882,14,57
"2545",17,11,801,473
"108180",857,842,144,157
"54412",467,460,441,633
"42135",339,172,441,633
"70560",647,620,473,505
"68411",628,601,762,877
"76933",669,641,310,276
"22432",189,322,610,796
"22543",197,331,461,637
"16845",139,270,15,45
"57534",527,550,381,365
"103574",838,831,925,447
"82162",707,700,305,337
"115803",858,850,381,365
"14897",118,242,245,19
"91744",769,761,785,407
"124951",937,910,230,19
"87682",727,721,260,256
"105022",839,832,916,444
"52477",448,441,321,373
"44395",358,182,441,633
"54676",468,462,433,577
"20568",177,310,202,7
"79746",687,660,283,274
"12355",69,60,680,783
"126130",937,910,964,418
"15765",127,251,372,313
"84368",717,711,394,389
"120615",907,412,361,354
"64772",539,530,374,364
"27130",209,350,441,633
"16348",138,262,481,518
"6987",67,60,751,869
"50879",418,411,441,633
"60815",558,552,715,804
"35129",287,111,281,259
"38164",319,151,551,667
"17971",148,272,602,785
"70150",639,612,284,263
"116425",867,860,145,159
"3923",279,110,441,633
"115269",858,850,391,315
"119969",897,891,51,75
"2476",17,11,822,479
"33774",268,100,694,889
"112323",857,842,144,157
"11857",69,60,715,804
"95667",779,771,611,747
"125727",937,921,201,5
"68952",628,601,283,274
"79077",677,642,395,379
"105508",848,840,372,313
"14483",109,241,694,785
"117672",878,871,100,174
"100035",838,831,923,95
"50624",417,410,715,804
"93678",769,761,980,406
"41538",338,171,266,278
"2714",17,11,801,473
"10047",69,60,751,869
"9588",69,60,436,844
"95709",779,771,245,19
"45054",369,192,441,633
"52490",448,441,245,19
"2343",17,10,801,473
"114603",858,850,130,144
"4351",19,21,755,486
"117840",878,871,376,314
"22904",197,331,381,365
"88511",737,731,395,379
"24603",209,350,1,25
"14798",118,242,902,453
"39274",319,151,663,744
"16038",128,252,610,796
"33676",268,100,381,365
"43988",348,180,694,779
"98780",828,812,65,84
"952",17,10,823,479
"110780",857,842,142,156
"30586",228,360,152,217
"1615",17,10,801,473
"125695",937,910,372,313
"99360",828,812,325,335
"81001",697,682,245,243
"122193",917,922,305,337
"69105",638,611,643,888
"49970",417,410,394,389
"99025",828,812,75,95
"54721",468,462,1,23
"35597",289,120,245,19
"118482",887,881,310,276
"65167",619,671,264,277
"15274",118,242,602,785
"39675",319,151,663,744
"58516",539,530,372,313
"78703",677,642,950,433
"3987",18,11,694,785
"88128",728,722,902,453
"31688",247,372,506,677
"40061",327,152,663,744
"72245",657,630,245,243
"57454",527,550,372,313
"120852",907,412,361,354
"101246",838,831,75,95
"116255",859,852,330,329
"23895",197,331,652,637
"47150",748,742,333,357
"38808",319,151,663,744
"100575",838,831,902,453
"10198",69,60,245,558
"113176",857,842,372,313
"3822",17,10,822,479
"63546",609,591,231,243
"126829",937,910,961,417
"97860",807,800,285,277
"120734",907,412,361,354
"50084",417,410,190,188
"10321",69,60,706,856
"76404",669,641,915,435
"51194",419,420,661,829
"16229",138,262,662,727
"95876",779,771,705,806
"117030",877,880,86,176
"119017",888,882,370,313
"118689",888,882,183,185
"16937",139,270,404,643
"88768",738,732,192,197
"81821",707,700,301,383
"99789",829,820,921,445
"53590",448,441,375,386
"31759",247,372,690,719
"52454",448,441,372,313
"99247",828,812,305,337
"7733",68,60,441,558
"71193",648,621,473,505
"103445",838,831,902,449
"31260",237,232,245,19
"89996",748,742,245,19
"27410",209,350,610,797
"120721",907,412,331,355
"33628",268,100,913,444
"16826",139,270,502,544
"16548",139,270,481,518
"93821",777,762,912,436
"5012",48,41,640,867
"118120",887,881,915,435
"45676",379,211,610,796
"28710",219,351,652,715
"84123",709,710,391,385
"65396",627,600,482,526
"92190",769,761,980,406
"50707",417,410,441,633
"79784",687,660,453,535
"16305",138,262,762,877
"74053",697,682,245,243
"85992",717,711,265,253
"123297",917,932,471,508
"116799",877,880,903,453
"92161",769,761,980,406
"116353",867,860,145,159
"14092",108,231,666,766
"99267",828,812,364,319
"113645",858,850,112,128
"107538",857,842,916,444
"49907",417,410,715,804
"64225",609,591,375,336
"99765",829,820,921,445
"85546",717,711,345,385
"43362",339,172,220,19
"113878",858,850,140,154
"97755",807,800,185,186
"91405",758,752,481,507
"112201",857,842,144,157
"109944",857,842,142,156
"34358",278,102,690,769
"73254",658,631,231,13
"126080",937,910,961,417
"58113",529,512,1,23
"32741",259,391,610,796
"59446",558,552,91,26
"77318",669,641,310,276
"35271",289,120,643,888
"51525",427,421,390,318
"63213",609,591,374,364
"32487",258,362,381,365
"20043",168,300,56,8
"69860",639,612,473,505
"58431",539,530,364,319
"29280",219,351,602,785
"80843",697,682,283,274
"98457",807,800,185,186
"108662",857,842,142,156
"8623",68,60,363,254
"84800",717,711,310,276
"76800",669,641,910,434
"2672",17,10,823,484
"76548",669,641,915,435
"32105",258,292,652,704
"36664",317,142,674,749
"25463",207,341,602,683
"21436",187,320,281,277
"70751",648,621,245,243
"86960",718,712,270,254
"60565",587,501,370,313
"105698",848,840,80,203
"29528",227,362,381,365
"4300",19,21,755,486
"14744",118,242,441,633
"57856",529,512,220,243
"7328",67,60,421,588
"2485",17,10,822,479
"11723",69,60,415,567
"21593",187,320,706,856
"15095",118,242,705,805
"52852",448,441,391,315
"93907",777,762,901,449
"35303",289,120,642,519
"123770",917,931,320,316
"86665",718,712,321,234
"7240",67,60,415,567
"77030",669,641,915,435
"22072",188,321,602,683
"46494",389,221,664,745
"41212",338,171,266,278
"42715",339,172,753,883
"3846",17,10,372,313
"17086",139,270,651,709
"113633",858,850,914,444
"117209",877,880,372,313
"39998",327,152,483,518
"89806",748,742,441,633
"98266",17,11,194,194
"42075",338,171,266,278
"95130",779,771,220,19
"66465",628,601,245,243
"65421",609,591,912,433
"105570",848,840,75,95
"103674",838,831,903,453
"102047",838,831,916,444
"100847",838,831,922,446
"67291",628,601,762,877
"85851",717,711,265,253
"120698",417,410,705,805
"23206",197,331,461,637
"79691",679,561,283,268
"17689",147,271,680,783
"49660",417,410,715,804
"50525",417,410,473,507
"107897",857,842,310,276
"75488",669,641,915,435
"111744",857,842,142,156
"55131",469,461,481,547
"62069",609,591,283,264
"45608",379,211,690,758
"79583",679,561,715,804
"17157",139,270,323,363
"75873",669,641,911,443
"117393",877,880,185,186
"57869",539,530,381,365
"63304",609,591,283,274
"26560",247,372,643,888
"110530",857,842,142,156
"15700",127,251,715,804
"26937",208,342,323,633
"23110",197,331,374,364
"91788",769,761,984,407
"95208",779,771,441,633
"73598",667,632,420,566
"111641",857,842,142,156
"67536",628,601,762,877
"88047",728,722,950,469
"121310",917,932,320,316
"57413",527,550,282,259
"108638",867,860,391,315
"48668",587,561,703,808
"59553",558,552,715,804
"44644",367,191,233,13
"12815",77,60,715,804
"59232",557,511,162,216
"82352",707,700,301,383
"24002",179,312,690,719
"89079",739,740,475,538
"116358",867,860,145,159
"18817",158,282,372,313
"42035",338,171,260,256
"104738",839,832,902,449
"80438",697,682,305,337
"13424",77,60,391,315
"29062",219,351,610,796
"68207",628,601,310,276
"59256",557,511,372,313
"78377",669,641,915,435
"93510",769,761,984,407
"78970",677,642,281,259
"35888",269,101,643,888
"41266",338,171,694,779
"124082",927,921,391,315
"120929",907,412,192,197
"105988",849,841,372,313
"79624",679,561,441,633
"93990",777,762,901,449
"123485",917,930,312,303
"20038",168,300,441,633
"34754",279,110,26,159
"78277",669,641,915,435
"61434",607,512,762,877
"34288",278,102,45,73
"27775",219,351,14,57
"64187",609,591,310,276
"108486",857,842,382,387
"52346",447,440,171,228
"799",17,11,801,473
"111917",857,842,240,14
"126502",937,930,902,453
"99408",828,812,370,313
"34206",347,192,715,804
"77780",669,641,915,435
"75978",669,641,910,434
"19151",158,282,695,779
"94595",777,762,901,449
"71012",648,621,473,505
"56349",508,541,233,13
"24499",207,341,12,55
"795",17,10,822,479
"94094",777,762,220,19
"101515",838,831,75,95
"13465",77,60,715,804
"114172",339,172,245,13
"26972",208,342,153,213
"12608",77,60,751,869
"117270",877,880,86,176
"120794",907,412,222,37
"48554",408,401,326,375
"110174",857,842,144,157
"54352",467,460,430,575
"82937",707,700,202,25
"76639",628,601,914,438
"13052",77,60,751,869
"63886",609,591,230,19
"10909",69,60,481,543
"71729",648,621,623,885
"77742",669,641,230,19
"57952",529,512,715,804
"65581",627,600,310,276
"79553",679,561,283,268
"20603",177,310,652,715
"40833",329,161,481,518
"118819",888,882,183,185
"31219",237,370,415,567
"7845",68,60,430,575
"104000",838,831,926,207
"17433",147,270,610,796
"54949",468,462,903,453
"27453",219,351,610,796
"74283",668,640,305,337
"9923",69,60,430,575
"106580",857,842,144,157
"10526",69,60,430,575
"70731",648,621,245,243
"87465",718,712,216,16
"100074",838,831,74,97
"38927",319,151,663,744
"43186",339,172,372,313
"75804",669,641,912,433
"41020",337,162,372,313
"109105",857,842,144,157
"23080",219,351,656,706
"112090",857,842,80,203
"108674",857,842,142,156
"76056",669,641,915,435
"6680",67,60,420,566
"56326",508,541,381,365
"89723",748,742,645,774
"65465",627,600,283,274
"34158",269,101,705,806
"118837",158,282,694,873
"77115",669,641,915,435
"30105",227,362,6,44
"23423",197,331,602,785
"45173",377,200,151,224
"19999",168,300,621,709
"113397",857,842,141,159
"28066",219,351,473,505
"69548",639,612,284,263
"60804",529,512,245,243
"30502",227,362,715,804
"114663",858,850,235,14
"38751",319,151,375,386
"93188",769,761,984,407
"90309",757,751,473,505
"40101",328,160,441,633
"98970",828,812,65,84
"79821",687,660,453,647
"8775",68,60,11,53
"51598",427,421,245,19
"68637",637,610,402,687
"114614",858,850,391,315
"13041",77,60,415,567
"55040",469,461,482,526
"53153",448,441,552,529
"77696",669,641,912,436
"16818",139,270,612,769
"21871",187,320,656,706
"3154",17,10,821,477
"55658",478,471,751,869
"112253",857,842,903,453
"84853",717,711,391,315
"84935",717,711,376,314
"112416",857,842,142,156
"29435",227,352,12,55
"81775",707,700,305,337
"7196",67,60,245,19
"87365",718,712,395,379
"104704",839,832,902,449
"63681",609,591,283,274
"106837",857,842,142,156
"125453",937,930,395,379
"98162",809,802,180,199
"97847",807,800,305,337
"74408",669,641,915,435
"10052",69,60,430,575
"87685",727,721,175,187
"96643",787,772,944,458
"110080",857,842,142,156
"114112",858,850,124,138
"97933",807,800,245,19
"116988",877,880,86,176
"5501",49,42,372,313
"120895",907,412,331,355
"14045",108,231,761,496
"47369",407,400,694,873
"119379",889,890,1,23
"111170",857,842,144,157
"85803",717,711,265,253
"27584",227,352,602,873
"15538",119,250,610,796
"656",17,11,801,473
"91591",697,651,492,547
"119483",889,890,372,313
"105011",839,832,925,447
"5399",49,42,640,599
"88931",738,732,372,313
"45213",377,200,604,754
"102187",838,831,75,95
"115845",858,850,124,138
"124831",927,901,903,453
"103315",838,831,916,444
"27212",209,350,602,785
"119951",897,742,190,188
"1387",17,10,801,473
"89965",748,742,705,805
"126403",937,901,903,453
"117634",878,871,100,174
"104634",839,832,510,579
"82388",707,700,305,337
"65922",628,601,342,344
"72705",657,630,245,243
"53496",448,441,552,529
"76782",669,641,915,435
"106647",857,842,144,157
"122359",917,931,31,178
"94235",777,762,901,449
"64043",609,591,381,365
"75295",669,641,916,444
"118009",879,870,101,19
"100685",838,831,75,447
"88377",729,730,461,637
"3772",878,871,311,377
"87195",718,712,391,315
"75200",669,641,915,435
"31419",239,371,602,785
"101568",838,831,925,447
"83319",708,702,372,313
"15572",119,250,672,738
"32675",167,291,621,709
"3313",17,11,801,473
"63605",609,591,305,337
"34147",269,101,764,887
"117558",878,871,141,159
"6872",67,60,245,558
"58966",539,530,1,23
"78227",669,641,915,435
"36723",317,142,903,453
"78417",669,641,915,435
"58552",539,530,374,364
"68895",637,610,402,687
"126153",937,910,391,315
"119783",897,742,190,188
"81583",707,700,312,303
"109641",857,842,56,27
"42225",339,172,281,257
"11064",69,60,510,579
"107609",857,842,755,486
"88672",738,732,345,385
"97372",798,742,372,313
"98791",828,812,364,319
"32722",259,391,563,668
"52204",447,440,372,313
"74033",668,640,903,453
"123518",917,901,471,503
"44107",349,180,441,633
"3340",17,11,801,473
"5731",67,60,421,588
"5954",67,60,615,573
"108004",857,842,372,313
"63093",609,591,245,243
"37983",319,151,663,744
"122499",897,891,325,335
"116654",869,872,245,19
"118956",888,882,11,53
"114634",858,850,391,315
"122517",917,932,222,5
"46342",387,212,690,759
"34243",527,550,305,337
"35115",287,111,643,888
"102664",838,831,371,313
"12579",69,60,305,337
"96193",787,772,944,458
"117895",878,871,100,174
"14292",108,231,753,878
"123597",917,921,1,23
"83522",708,701,372,313
"8613",68,60,715,804
"63850",609,591,205,29
"96982",788,780,935,457
"16782",139,270,1,25
"23613",197,331,481,518
"49417",417,410,23,59
"46430",387,212,680,783
"36168",307,132,663,744
"22815",197,331,461,637
"62483",609,591,91,166
"12488",69,60,694,864
"67124",628,601,762,877
"103201",838,831,764,887
"27553",219,351,602,785
"24900",207,341,14,57
"95458",779,771,245,19
"97375",798,791,192,197
"5781",67,60,416,569
"26098",208,342,651,644
"34379",278,102,203,28
"111373",857,842,240,14
"101807",838,831,926,207
"21437",187,320,281,259
"5383",49,42,640,699
"101653",838,831,75,95
"39224",319,151,663,744
"62106",609,591,231,13
"126251",937,910,372,313
"16951",139,270,424,849
"90195",749,750,245,19
"70964",648,621,623,885
"117957",878,871,245,174
"98459",809,802,915,433
"32780",259,391,694,684
"17401",147,270,441,633
"97288",798,791,191,189
"93532",769,761,980,406
"45341",377,200,391,315
"125503",937,910,630,748
"48129",407,400,455,824
"98938",828,812,364,319
"76022",669,641,901,449
"33511",268,100,764,887
"60282",587,561,643,888
"53209",448,441,385,348
"5405",49,42,225,16
"40228",328,160,643,888
"8029",68,60,452,35
"84749",717,711,935,457
"74792",669,641,915,435
"68487",628,601,762,877
"93276",769,761,984,407
"36853",317,142,372,303
"104769",839,832,925,447
"4470",27,30,25,416
"24721",207,341,485,523
"109238",857,842,75,95
"109682",857,842,916,444
"113524",857,842,233,13
"30575",228,360,372,313
"2593",17,11,801,473
"15796",127,251,481,547
"70140",639,612,284,263
"38415",319,151,372,313
"96487",787,772,944,458
"13926",108,231,245,19
"38888",319,151,663,744
"119539",889,890,1,23
"30595",228,360,522,585
"124618",68,60,415,567
"46620",389,221,664,745
"90925",757,751,472,514
"20936",179,312,312,305
"123907",917,931,215,36
"41121",337,162,481,518
"51898",427,421,390,364
"82899",707,700,202,25
"52354",448,441,11,53
"10322",69,60,245,19
"56521",509,542,372,313
"19494",167,291,36,67
"115196",858,850,123,137
"93076",769,761,984,407
"83990",709,710,245,243
"16015",128,252,715,804
"22122",188,321,245,19
"90467",757,751,305,337
"28114",219,351,656,706
"106362",849,841,31,178
"53247",207,341,552,529
"56551",527,550,912,436
"53085",448,441,394,389
"108618",857,842,142,156
"69888",639,612,284,263
"17510",147,271,715,804
"16738",139,270,441,633
"85950",717,711,265,253
"30109",227,362,23,56
"77216",669,641,912,436
"105107",839,832,925,447
"42446",339,172,305,337
"113358",857,842,144,157
"86030",717,711,372,313
"19692",149,280,681,777
"125624",937,910,222,5
"123275",917,901,325,335
"75617",669,641,915,435
"92982",769,761,984,407
"108726",857,842,144,157
"24616",207,341,561,634
"80229",689,681,245,243
"126699",937,930,220,19
"17129",139,270,381,365
"19123",158,282,23,59
"72075",649,622,284,263
"3578",17,10,802,475
"53127",448,441,554,527
"80771",697,651,283,274
"106084",849,841,370,313
"104456",839,832,925,447
"85816",717,711,1,23
"41805",338,171,441,243
"100056",838,831,381,365
"62587",609,591,360,338
"55572",478,471,441,633
"44792",368,192,441,633
"82620",707,700,202,7
"18498",157,281,1,23
"89696",748,742,184,195
"124838",878,871,394,389
"62225",609,591,205,29
"36741",317,142,374,364
"112722",857,842,372,313
"43550",347,192,415,567
"11173",69,60,751,869
"45221",377,200,372,313
"79736",687,660,305,337
"93894",777,762,305,337
"31827",248,380,610,796
"74976",669,641,310,276
"124136",927,930,222,5
"102213",838,831,305,337
"79897",687,660,205,19
"19242",158,282,245,19
"121859",917,931,372,313
"64410",609,591,283,264
"75120",669,641,915,435
"7076",67,60,751,869
"126723",937,910,364,319
"107556",857,842,144,157
"72109",609,591,903,453
"94326",777,762,510,579
"74460",669,641,915,435
"72897",657,630,283,264
"63577",609,591,485,523
"40245",328,160,690,769
"25968",208,342,690,715
"28380",219,351,753,883
"92282",769,761,980,406
"65379",627,600,381,365
"37941",319,151,663,744
"78769",677,642,64,96
"42511",339,172,155,215
"11591",69,60,552,529
"14013",108,231,662,727
"79321",677,642,913,444
"106294",849,841,372,313
"18540",157,281,245,19
"89648",748,742,452,35
"80914",508,541,231,13
"99888",838,831,75,447
"58027",529,512,245,243
"59498",558,552,715,804
"34706",279,110,643,888
"74910",669,641,230,19
"19847",168,300,692,777
"6042",67,60,415,567
"78206",669,641,915,435
"99136",828,812,364,319
"62384",609,591,245,19
"90846",757,751,473,505
"14253",108,231,690,733
"50524",417,410,473,507
"103771",838,831,481,549
"88819",738,732,245,389
"75436",669,641,283,438
"92717",769,761,984,407
"63488",609,591,205,19
"96575",787,772,944,458
"62504",609,591,394,389
"89473",748,742,372,313
"98285",809,802,372,313
"59335",558,552,441,633
"108113",857,842,142,156
"76856",669,641,310,276
"19769",168,300,245,19
"77628",669,641,915,435
"42133",339,172,245,19
"98992",828,812,372,313
"42982",339,172,191,213
"67275",628,601,762,877
"57348",527,550,643,888
"24707",207,341,602,785
"119401",889,890,1,23
"15548",119,250,692,777
"53382",448,441,552,529
"69848",639,612,785,889
"97810",807,800,305,337
"31500",239,371,162,216
"75398",669,641,912,437
"12486",69,60,415,567
"101597",838,831,925,447
"66770",628,601,762,877
"1674",17,11,801,473
"112857",857,842,144,157
"99171",828,812,391,315
"104494",839,832,391,315
"79843",687,660,283,274
"83279",708,702,372,313
"24946",207,341,245,13
"69027",638,611,631,686
"107176",857,842,32,164
"77517",669,641,915,435
"51025",419,420,760,876
"22482",189,322,23,59
"103166",838,831,902,449
"86758",718,712,270,254
"95468",779,771,305,337
"11889",69,60,415,567
"87858",727,721,245,19
"84748",717,711,265,253
"70449",647,620,283,269
"116546",858,850,372,313
"107422",857,862,143,155
"29592",227,352,461,637
"12867",77,60,473,507
"37917",319,151,323,363
"25140",207,341,12,55
"83348",708,701,301,383
"49862",417,410,375,386
"59440",558,552,282,259
"50763",417,410,715,804
"97230",798,791,714,809
"33183",259,391,694,646
"92205",69,60,510,579
"8532",68,60,751,599
"53698",448,441,12,55
"93440",769,761,982,405
"86486",718,712,270,254
"25738",208,342,610,633
"47450",407,400,712,824
"60629",587,501,282,259
"73444",667,632,391,315
"41163",337,162,690,777
"27653",219,351,643,888
"1527",17,10,801,473
"69563",639,612,310,276
"71025",648,621,623,885
"39204",319,151,663,744
"46945",397,222,575,769
"37250",317,142,481,518
"96242",787,772,944,458
"7026",67,60,305,337
"90059",749,750,711,813
"45180",377,200,441,633
"19690",168,300,690,749
"77384",669,641,915,435
"70173",639,612,284,269
"112712",839,832,142,156
"94007",777,762,314,317
"95842",779,771,611,747
"18580",157,281,561,634
"64947",618,670,652,704
"93904",777,762,372,313
"40534",328,160,690,759
"7052",67,60,245,558
"23638",197,331,245,19
"122047",917,932,360,338
"7677",68,60,751,869
"105004",839,832,925,447
"43380",339,172,770,889
"125992",937,930,31,178
"124078",927,931,391,315
"29412",227,352,12,55
"72290",657,630,205,29
"124233",848,922,76,105
"99237",828,812,65,84
"31477",239,371,680,783
"76134",669,641,915,435
"28630",219,351,610,796
"50178",417,410,715,804
"111928",857,842,912,436
"24917",207,341,690,719
"25505",208,342,441,307
"85510",717,711,265,253
"61151",607,580,415,567
"23459",887,881,372,313
"39559",319,151,663,744
"68884",637,610,914,438
"125339",937,910,961,417
"79955",688,672,372,379
"2046",17,10,822,479
"34817",279,110,303,339
"32109",258,292,65,84
"39171",319,151,611,747
"82568",707,700,301,383
"58777",539,530,4,64
"102972",838,831,925,447
"107664",857,842,372,313
"78506",669,641,915,435
"38206",319,151,325,335
"120687",907,412,361,354
"66338",628,601,283,274
"18234",149,280,312,303
"6990",67,60,415,554
"57148",527,550,705,805
"38595",319,151,695,779
"108153",857,842,174,163
"50569",417,410,375,379
"31533",239,371,441,633
"75187",669,641,915,435
"73883",667,632,413,657
"54138",467,460,152,217
"77531",669,641,915,435
"75878",669,641,916,444
"66387",628,601,762,877
"115749",858,850,235,14
"103173",838,831,212,19
"67238",628,601,631,686
"90948",757,751,372,313
"85051",717,711,265,253
"121296",907,412,361,354
"77458",669,641,915,435
"67040",628,601,903,453
"123721",917,932,962,426
"84829",717,711,245,19
"86328",927,922,3,229
"72361",657,630,283,264
"3395",17,11,801,473
"76472",669,641,910,434
"74289",667,632,415,567
"93722",769,761,984,407
"22817",197,331,245,19
"94943",769,761,980,406
"109942",857,842,174,163
"6940",67,60,751,869
"40007",327,152,610,796
"12124",69,60,436,844
"66031",628,601,310,276
"90310",757,751,473,505
"53066",448,441,391,385
"44407",358,182,374,364
"22497",197,331,381,365
"34479",278,102,604,754
"27578",219,351,962,426
"26858",208,342,422,734
"13912",108,232,281,259
"42212",339,172,422,734
"122366",917,930,332,307
"108649",857,842,144,157
