Index,IND.1971.1982,IND.1983.1991,IND.1992.2002,IND.2003.2008,IND.2009.2013,IND.2014.2019,IND.2020.
152,379,211,211,1770,1770,1770,1770
153,397,222,222,1790,1790,1790,1790
154,388,220,220,1790,1790,1790,1790
155,389,221,221,1790,1790,1790,1790
156,328,160,160,1870,1870,1870,1870
157,337,162,162,1880,1880,1880,1880
158,328,160,160,1880,1880,1880,1880
159,329,161,161,1880,1880,1880,1880
160,337,162,162,1890,1890,1890,1890
161,329,161,161,1890,1890,1890,1890
162,328,160,160,1890,1890,1890,1890
163,338,171,171,1990,1990,1990,1990
164,748,742,741,1990,1990,1990,1990
165,798,742,741,1990,1990,1990,1990
166,738,742,741,1990,1990,1990,1990
167,897,742,741,1990,1990,1990,1990
168,259,391,391,1990,1990,1990,1990
169,339,172,172,1990,1990,1990,1990
170,327,152,152,1990,1990,1990,1990
171,77,60,60,2070,2070,2070,2070
172,69,60,60,2070,2070,2070,2070
173,68,60,60,2070,2070,2070,2070
174,67,60,60,2070,2070,2070,2070
175,377,200,200,2070,2070,2070,2070
176,139,270,270,2090,2090,2090,2090
177,378,201,201,2090,2090,2090,2090
178,147,270,270,2090,2090,2090,2090
179,348,180,180,2170,2170,2170,2170
180,348,212,212,2170,2170,2170,2170
181,369,192,192,2170,2170,2170,2170
182,49,192,192,2170,2170,2170,2170
183,368,192,192,2170,2170,2170,2170
184,387,212,212,2170,2170,2170,2170
185,348,192,192,2170,2170,2170,2170
186,349,180,180,2170,2170,2170,2170
187,347,192,192,2170,2170,2170,2170
188,359,192,192,2170,2170,2170,2170
189,347,191,191,2180,2180,2180,2180
190,367,191,191,2180,2180,2180,2180
191,357,181,181,2190,2190,2190,2190
192,359,192,192,2270,2270,2270,2270
193,49,192,192,2270,2270,2270,2270
194,347,192,192,2270,2270,2270,2270
195,358,182,182,2270,2270,2270,2270
196,359,190,190,2270,2270,2270,2270
197,369,192,192,2270,2270,2270,2270
198,348,192,192,2270,2270,2270,2270
199,368,192,192,2270,2270,2270,2270
200,359,192,192,2280,2280,2280,2280
201,347,192,192,2280,2280,2280,2280
202,49,192,192,2280,2280,2280,2280
203,358,182,182,2280,2280,2280,2280
204,368,192,192,2280,2280,2280,2280
205,329,161,161,2280,2280,2280,2280
206,369,192,192,2280,2280,2280,2280
207,348,192,192,2280,2280,2280,2280
208,359,192,192,2290,2290,2290,2290
209,49,192,192,2290,2290,2290,2290
210,248,380,380,2290,2290,2290,2290
211,348,192,192,2290,2290,2290,2290
212,138,262,262,2290,2290,2290,2290
213,347,192,192,2290,2290,2290,2290
214,369,192,192,2290,2290,2290,2290
215,368,192,192,2290,2290,2290,2290
216,387,211,211,2370,2370,2370,2370
217,259,391,391,2370,2370,2370,2370
218,348,212,212,2370,2370,2370,2370
219,379,211,211,2370,2370,2370,2370
220,329,161,161,2370,2370,2370,2370
221,387,212,212,2370,2370,2370,2370
222,109,241,241,2370,2370,2370,2370
223,379,210,210,2380,2380,2380,2380
224,757,751,751,2380,2380,2380,2380
225,387,211,211,2390,2390,2390,2390
226,379,211,211,2390,2390,2390,2390
227,137,261,261,2470,2470,2470,2470
228,917,291,291,2470,2470,2470,2470
229,147,291,291,2470,2470,2470,2470
230,697,651,651,2470,2470,2470,2470
231,167,291,291,2470,2470,2470,2470
232,138,262,262,2470,2470,2470,2470
233,138,262,262,2480,2480,2480,2480
234,128,252,252,2480,2480,2480,2480
235,119,250,250,2490,2490,2490,2490
236,259,391,391,2490,2490,2490,2490
237,138,262,262,2570,2570,2570,2570
238,127,251,251,2570,2570,2570,2570
239,127,251,251,2590,2590,2590,2590
240,138,262,262,2590,2590,2590,2590
241,168,300,300,2670,2670,2670,2670
242,149,280,280,2670,2670,2670,2670
243,139,270,270,2670,2670,2670,2670
244,147,270,270,2670,2670,2670,2670
245,148,272,272,2680,2680,2680,2680
246,149,280,280,2690,2690,2690,2690
247,148,272,272,2770,2770,2770,2770
248,147,270,270,2770,2770,2770,2770
249,149,280,280,2770,2770,2770,2770
250,147,271,271,2770,2770,2770,2770
251,139,270,270,2770,2770,2770,2770
252,167,291,291,2780,2780,2780,2780
253,147,291,291,2780,2780,2780,2780
254,917,291,291,2780,2780,2780,2780
255,167,291,291,2790,2790,2790,2790
256,178,311,311,2790,2790,2790,2790
257,917,291,291,2790,2790,2790,2790
258,168,300,300,2790,2790,2790,2790
259,187,320,320,2790,2790,2790,2790
260,157,281,281,2790,2790,2790,2790
261,238,311,311,2790,2790,2790,2790
262,147,291,291,2790,2790,2790,2790
263,917,291,291,2870,2870,2870,2870
